index,mean,sd,ci_3%,ci_97%,ess_bulk,ess_tail,model
"beta_g['turkish','explicit']",-0.39140609682510136,0.34028036073949536,-1.0404233588333742,0.24370514217398637,0.0,0.0,gaussian
alpha_g['world-music'],39.894715969158206,0.0,38.8174497319528,40.92641860693815,0.0,0.0,gaussian
"beta_g['world-music','danceability']",1.14632491269892,0.4368052225234101,0.34521612386630257,1.9827986330416114,0.0,0.0,gaussian
"beta_g['world-music','energy']",-0.8522735233875716,0.4512018469536097,-1.7139341372900903,-0.03829260278503182,0.0,0.0,gaussian
"beta_g['world-music','loudness']",2.5310984536785033,0.3928484160337965,1.7994456426859649,3.2912113132770013,0.0,0.0,gaussian
"beta_g['world-music','speechiness']",0.16092726313763758,0.763371557254427,-1.2950147654145887,1.601125412738216,0.0,0.0,gaussian
"beta_g['world-music','acousticness']",-1.678373216327735,0.5193981502512212,-2.6679527438719446,-0.6982414231778558,0.0,0.0,gaussian
"beta_g['world-music','instrumentalness']",-2.8489521975397603,0.5391779702051644,-3.916137561768119,-1.8694916553206375,0.0,0.0,gaussian
"beta_g['world-music','liveness']",-0.14424771883676657,0.3522561953842903,-0.800142625687888,0.5249257032357545,0.0,0.0,gaussian
"beta_g['world-music','valence']",-2.92488771856466,0.484358700926571,-3.8251740319277157,-2.0675754350537368,0.0,0.0,gaussian
"beta_g['world-music','tempo']",0.2796550408508392,0.3640222003632151,-0.38346382607396057,0.952764830856507,0.0,0.0,gaussian
"beta_g['world-music','explicit']",0.8296463397360251,1.330265192889277,-1.6864534417517187,3.335964713690127,0.0,0.0,gaussian
alpha_g['acoustic'],-0.8082319028505003,0.0,-0.9367747666841809,-0.6725089326815983,0.0,0.0,bernoulli
"beta_g['acoustic','danceability']",0.24905319852357644,0.09215661540952591,0.06772002168635774,0.42435717895720826,0.0,0.0,bernoulli
"beta_g['acoustic','energy']",-0.23094552701646587,0.051176434967506464,-0.3283350388821596,-0.13435462537798035,0.0,0.0,bernoulli
"beta_g['acoustic','loudness']",0.030723579145855506,0.07765780490591932,-0.11964574663619983,0.17658084705839924,0.0,0.0,bernoulli
"beta_g['acoustic','speechiness']",-0.24214020649335272,0.10344440074289177,-0.43741701484454776,-0.04592687267751196,0.0,0.0,bernoulli
"beta_g['acoustic','acousticness']",0.12138767034175252,0.050447303471768755,0.026462839349636155,0.2181804874210483,0.0,0.0,bernoulli
"beta_g['acoustic','instrumentalness']",-0.37040074515376786,0.10700330751903549,-0.5756356944783508,-0.17631256053343958,0.0,0.0,bernoulli
"beta_g['acoustic','liveness']",-0.07563259826426019,0.08481774090665024,-0.2318724164168358,0.08267560482078146,0.0,0.0,bernoulli
"beta_g['acoustic','valence']",-0.23714214978801837,0.07516842797533821,-0.3774029079733197,-0.09534507347242784,0.0,0.0,bernoulli
"beta_g['acoustic','tempo']",0.03165284758563789,0.039967256129523884,-0.04285221394315666,0.10651085633646822,0.0,0.0,bernoulli
"beta_g['acoustic','explicit']",-0.38857696515472917,0.09826258925934289,-0.5741585275156063,-0.20445652670507233,0.0,0.0,bernoulli
