artista_principal,n_tracks,mean_popularity,median_popularity,explicit_rate,n_generos_mean,n_artistas_mean,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Rochak Kohli,6,67.0,65.5,0.0,1.0,2.6666666666666665,0.6466666666666666,0.6088333333333333,-6.185833333333334,0.042166666666666665,0.45683333333333337,0.00012985166666666664,0.12771666666666667,0.4845,94.83716666666668
Tai Verdes,8,67.0,66.5,0.625,1.5,1.0,0.680625,0.635875,-6.13125,0.12335,0.2522375,1.319875e-05,0.2624375,0.6655,94.77475
Journey,11,66.9090909090909,70.0,0.0,1.1818181818181819,1.1818181818181819,0.43063636363636365,0.7027272727272726,-7.381545454545455,0.042563636363636366,0.12453727272727272,0.001320198181818182,0.19795454545454547,0.31024545454545455,121.99763636363636
"Earth, Wind & Fire",7,66.85714285714286,68.0,0.0,2.0,1.1428571428571428,0.717,0.7300000000000001,-8.73,0.04045714285714286,0.19875714285714288,0.0015935285714285714,0.26830000000000004,0.8655714285714285,127.33385714285714
MAMAMOO,5,66.8,64.0,0.0,1.0,1.0,0.6517999999999999,0.8078,-3.0648000000000004,0.10798,0.11423800000000002,8.012e-06,0.16744,0.7150000000000001,119.69560000000001
Ozzy Osbourne,9,66.77777777777777,66.0,0.0,1.5555555555555556,1.2222222222222223,0.3882222222222222,0.7953333333333333,-5.797111111111111,0.06974444444444444,0.078509,0.0729596988888889,0.2175888888888889,0.36033333333333334,121.06988888888888
Leon Bridges,5,66.6,69.0,0.0,1.0,1.2,0.6108,0.41600000000000004,-8.382200000000001,0.05711999999999999,0.3922,0.055038039999999996,0.12309999999999999,0.36019999999999996,111.171
Sabaton,6,66.5,66.5,0.0,1.6666666666666667,1.0,0.5111666666666667,0.919,-5.856166666666667,0.06203333333333333,0.011928333333333334,0.0007871766666666665,0.20501666666666665,0.3273333333333333,106.853
Bea Miller,7,66.42857142857143,68.0,0.2857142857142857,2.0,1.2857142857142858,0.6095714285714285,0.6027142857142858,-5.821285714285715,0.09604285714285714,0.10035714285714285,4.338571428571429e-05,0.36842857142857144,0.4227142857142857,118.08285714285715
Marc Seguí,5,66.4,61.0,0.0,1.0,1.6,0.7886,0.602,-5.8088,0.03772,0.19188,7.1e-07,0.10074000000000001,0.5138,120.1048
Lil Peep,50,66.38,66.5,0.9,1.0,1.42,0.57898,0.62108,-7.0269200000000005,0.055938,0.084931438,0.026637572600000003,0.16347,0.276738,117.98606
Calvin Harris,44,66.29545454545455,66.5,0.22727272727272727,1.9545454545454546,2.522727272727273,0.6991818181818181,0.838090909090909,-4.203045454545454,0.05472272727272727,0.13725725,0.015511856136363635,0.2151727272727273,0.6212272727272727,121.75331818181817
Led Zeppelin,23,66.26086956521739,64.0,0.0,1.0869565217391304,1.0,0.43273913043478257,0.6637391304347826,-10.049130434782608,0.06546521739130436,0.1793413913043478,0.0832843,0.15978695652173913,0.5131217391304348,105.37739130434782
Clinton Kane,9,66.22222222222223,64.0,0.1111111111111111,2.0,1.0,0.5122222222222221,0.5428888888888889,-6.570666666666667,0.10155555555555557,0.6333333333333333,3.2444444444444446e-06,0.11408888888888888,0.4408888888888889,108.69033333333333
Thousand Foot Krutch,5,66.2,66.0,0.0,2.2,1.0,0.5154,0.7714000000000001,-5.2032,0.053559999999999997,0.007885,0.00010270399999999998,0.08066,0.4928,127.03540000000001
B Praak,5,66.2,67.0,0.0,1.0,2.4,0.5912,0.6534,-3.3376000000000006,0.06946,0.4378,0.0,0.15842,0.3798,109.65060000000001
Ozuna,30,66.16666666666667,64.0,0.03333333333333333,3.2,1.9666666666666666,0.7786333333333334,0.6795333333333333,-4.9795,0.08973666666666666,0.12988133333333335,0.015990261,0.19644,0.6219333333333333,122.09926666666667
Becky G,14,66.14285714285714,66.0,0.0,1.8571428571428572,1.6428571428571428,0.7736428571428571,0.7361428571428571,-4.692785714285714,0.07411428571428572,0.15801785714285715,0.0004989357142857143,0.1271857142857143,0.6497857142857143,103.62592857142856
Akhil,5,66.0,65.0,0.0,1.6,1.6,0.6397999999999999,0.5774,-6.2086,0.04218,0.597,0.0,0.12668,0.4992,84.25
Maninder Buttar,5,65.8,68.0,0.0,1.6,1.4,0.7022,0.7003999999999999,-5.1823999999999995,0.048780000000000004,0.227,0.0,0.205,0.5502,96.0836
Sum 41,9,65.77777777777777,66.0,0.3333333333333333,1.0,1.0,0.39888888888888885,0.8316666666666667,-5.0744444444444445,0.0803,0.004103555555555556,0.0019451444444444444,0.23174444444444445,0.47322222222222227,160.8022222222222
TOOL,8,65.625,66.0,0.25,1.25,1.0,0.443,0.688875,-7.811,0.0394125,0.001336575,0.596625,0.128875,0.27745,130.4195
Vilen,5,65.6,66.0,0.0,1.6,1.0,0.5726,0.45780000000000004,-8.0792,0.030220000000000004,0.5237999999999999,3.46e-06,0.12088000000000002,0.45380000000000004,117.20219999999999
Incubus,7,65.42857142857143,64.0,0.0,1.5714285714285714,1.0,0.4815714285714286,0.8045714285714285,-5.925,0.0428,0.04920728571428572,0.07991998142857144,0.22934285714285713,0.4511428571428571,116.28428571428572
Lord Huron,7,65.42857142857143,63.0,0.0,1.4285714285714286,1.4285714285714286,0.4867142857142857,0.49957142857142856,-8.947714285714286,0.034557142857142856,0.7497142857142858,0.21943142857142858,0.3586714285714286,0.24171428571428571,125.38471428571428
Tom Walker,8,65.25,66.5,0.0,1.5,1.25,0.53675,0.613875,-5.9251249999999995,0.1731,0.3882375,9.9e-07,0.1273,0.37725000000000003,113.65937500000001
Mobb Deep,5,65.2,66.0,1.0,1.0,1.0,0.8008,0.732,-6.1766,0.2954,0.15904000000000001,0.004540252,0.12688,0.46299999999999997,94.3116
John Mayer,32,65.1875,64.0,0.03125,2.0,1.03125,0.61465625,0.50171875,-8.93134375,0.0316375,0.443940625,0.03276500375,0.150240625,0.4674375,121.8280625
Ana Mena,7,65.14285714285714,67.0,0.0,1.0,1.5714285714285714,0.7402857142857143,0.793,-4.534571428571428,0.04387142857142857,0.11338714285714287,2.442857142857143e-05,0.16302857142857144,0.7228571428571428,124.55842857142856
Rels B,8,65.125,73.0,0.5,1.125,1.375,0.764,0.47850000000000004,-8.014,0.1605875,0.405125,0.0092037,0.1292875,0.35650000000000004,111.020125
Cage The Elephant,14,65.07142857142857,63.0,0.0,2.4285714285714284,1.0,0.5241428571428571,0.6799999999999999,-5.306214285714286,0.04403571428571429,0.16043142857142856,0.00016470285714285715,0.19645714285714286,0.4132857142857143,127.65714285714286
Alphaville,6,65.0,65.0,0.0,1.0,1.0,0.6583333333333333,0.5623333333333332,-9.656333333333334,0.03605,0.18585,0.04800100000000001,0.24050000000000002,0.30616666666666664,110.70966666666668
Lauv,23,65.0,67.0,0.17391304347826086,1.2173913043478262,1.2608695652173914,0.6660869565217391,0.5113043478260869,-7.582695652173912,0.07411304347826088,0.33949347826086956,1.4481304347826086e-05,0.13874782608695652,0.46995217391304345,115.32160869565217
Sainte,7,65.0,64.0,0.14285714285714285,1.0,1.1428571428571428,0.8140000000000001,0.47685714285714287,-10.652714285714286,0.24989999999999998,0.5301428571428571,0.007895288571428571,0.11125714285714285,0.5174285714285715,129.65657142857143
Tegi Pannu,6,65.0,64.5,0.16666666666666666,1.5,2.0,0.7436666666666666,0.6436666666666667,-6.3598333333333334,0.12655,0.4003333333333334,8.016666666666666e-07,0.16086666666666666,0.759,118.52766666666666
G-Eazy,11,64.72727272727273,63.0,0.8181818181818182,1.7272727272727273,2.272727272727273,0.6823636363636364,0.7168181818181818,-5.470363636363636,0.16013636363636363,0.059689090909090914,1.4e-07,0.18006363636363634,0.3038181818181818,123.99418181818181
Adele,51,64.66666666666667,65.0,0.058823529411764705,1.4705882352941178,1.0392156862745099,0.5445882352941177,0.4807647058823529,-7.238882352941176,0.045849019607843135,0.469272568627451,0.0035763317647058823,0.13078039215686274,0.33243529411764705,122.41833333333334
Santana,8,64.625,67.0,0.0,1.0,1.5,0.59875,0.624625,-7.455875,0.0602125,0.2609,0.1612911825,0.13665,0.7705,109.9515
Bon Iver,5,64.6,66.0,0.2,1.2,1.2,0.4676,0.24577999999999997,-14.692400000000001,0.03678,0.9369999999999999,0.20600113599999997,0.11801999999999999,0.12323999999999999,129.2756
Def Leppard,10,64.6,65.0,0.0,1.0,1.0,0.5104,0.7787,-6.9382,0.04733,0.028991300000000005,0.07000389900000001,0.17728,0.5525,110.6781
Vaundy,9,64.33333333333333,67.0,0.0,1.3333333333333333,1.0,0.6065555555555555,0.7572222222222221,-5.763444444444445,0.0582,0.11977753333333332,0.08917154444444446,0.18043333333333333,0.6024444444444444,126.45700000000001
Kenshi Yonezu,13,64.3076923076923,62.0,0.0,1.7692307692307692,1.0769230769230769,0.6213076923076923,0.7233076923076923,-5.194999999999999,0.05159230769230769,0.14384923076923076,2.6723076923076925e-06,0.20475384615384615,0.6112307692307692,107.31038461538462
