artista_principal,n_tracks,mean_popularity,median_popularity,explicit_rate,n_generos_mean,n_artistas_mean,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Meditation Rain Sounds,10,0.0,0.0,0.0,1.0,4.0,0.4394,0.9960000000000001,-18.5134,0.04829,0.9345000000000001,0.8586,0.9436,0.014779999999999998,79.9821
Maurice Ravel,10,0.0,0.0,0.0,1.0,2.7,0.27959999999999996,0.0841256,-24.7234,0.057589999999999995,0.9718,0.57464,0.15115,0.13704,91.0789
Mehdi Khayami,5,0.0,0.0,0.0,1.0,2.6,0.3466,0.25112,-15.509199999999998,0.11224,0.85,0.5582800000000001,0.1484,0.06332,111.78040000000001
Travis Tritt,6,0.0,0.0,0.0,1.0,1.0,0.5936666666666667,0.7143333333333334,-9.276166666666667,0.03326666666666667,0.1926,0.031566666666666666,0.09053333333333334,0.8011666666666667,145.97833333333332
Michael Ray,16,0.0,0.0,0.0,1.0,1.0,0.6479374999999999,0.630625,-5.8050625,0.03504375,0.21938312499999998,0.001144165625,0.20061875,0.49156249999999996,123.02981249999999
CRO,6,0.0,0.0,0.16666666666666666,1.0,1.3333333333333333,0.7461666666666668,0.5671666666666667,-7.490666666666667,0.07221666666666667,0.2939833333333333,0.03381683666666666,0.12376666666666668,0.5745,104.29
Boomdabash,10,0.0,0.0,0.0,1.0,1.9,0.8271000000000001,0.6599,-5.872400000000001,0.17452,0.10536999999999999,9.81e-07,0.18192,0.769,121.1828
Boris Shtokolov,5,0.0,0.0,0.0,1.0,1.6,0.2972,0.34059999999999996,-12.848400000000002,0.06838,0.967,0.11400378,0.15854,0.21952,122.9494
Bryce Vine,6,0.0,0.0,0.16666666666666666,1.0,1.5,0.6906666666666667,0.7626666666666666,-4.721666666666667,0.0579,0.27348333333333336,3.239666666666667e-05,0.21283333333333335,0.622,104.61016666666667
Black Rob,5,0.0,0.0,1.0,1.0,2.2,0.725,0.7506,-6.3351999999999995,0.354,0.18914,0.0,0.18856,0.6284000000000001,106.48859999999999
Big Daddy Kane,5,0.0,0.0,0.0,1.0,1.0,0.8138,0.5976,-13.0624,0.21724000000000002,0.0062068,0.000580202,0.11456,0.7098,117.0752
Big & Rich,6,0.0,0.0,0.0,1.0,1.5,0.49499999999999994,0.8945,-5.3,0.0837,0.05229999999999999,7.35e-06,0.17650000000000002,0.5195,141.3235
Baby Tate,5,0.0,0.0,1.0,1.0,1.0,0.874,0.5414000000000001,-6.8286,0.27658,0.11524800000000002,0.0,0.2112,0.629,147.9906
Baby Lullaby,6,0.0,0.0,0.0,1.0,1.0,0.445,0.04095,-20.81716666666667,0.06133333333333333,0.8703333333333333,0.8343333333333334,0.13791666666666666,0.40116666666666667,110.64666666666666
Morgan Evans,12,0.0,0.0,0.0,1.0,1.25,0.507,0.8049166666666667,-5.96575,0.07208333333333335,0.14289166666666667,8.53e-06,0.25958333333333333,0.642,171.56283333333332
Mel Tormé,9,0.0,0.0,0.0,1.0,1.1111111111111112,0.4731111111111111,0.16978888888888888,-17.835111111111114,0.039733333333333336,0.8036666666666666,0.105,0.16282222222222223,0.4059666666666667,112.00844444444445
Tom Petty and the Heartbreakers,17,0.0,0.0,0.0,3.4705882352941178,1.0,0.4621176470588235,0.8161764705882353,-6.05835294117647,0.039911764705882355,0.10801176470588236,8.33235294117647e-06,0.4387176470588235,0.6122941176470589,133.78411764705882
Eels,7,0.0,0.0,0.0,1.0,1.0,0.4848571428571429,0.8012857142857143,-7.193714285714286,0.06767142857142858,0.16653142857142858,0.06569342857142858,0.16014285714285714,0.7227142857142858,154.18
Ekwon,10,0.0,0.0,0.9,1.0,1.0,0.3484,0.8791,-5.6667000000000005,0.08715999999999999,0.080360141,0.7097,0.43242,0.09683,130.3576
Sturgill Simpson,6,0.0,0.0,0.0,4.0,1.0,0.45366666666666666,0.5446666666666666,-7.440333333333334,0.028066666666666667,0.06698333333333333,0.24066666666666667,0.12333333333333334,0.47833333333333333,118.02633333333334
Thalia,5,0.0,0.0,0.0,1.0,1.0,0.7213999999999999,0.8492000000000001,-6.054,0.05378000000000001,0.22653999999999996,0.0065477239999999996,0.19276,0.8262,122.0038
Tension Prophecy,8,0.0,0.0,0.5,1.0,1.0,0.27825,0.9077500000000001,-5.61275,0.112625,0.00416785,0.724625,0.19645,0.2475,129.502875
Faith Evans,5,0.0,0.0,0.4,1.0,1.4,0.545,0.5542,-7.8036,0.07026,0.37444,3.2799999999999997e-07,0.27080000000000004,0.42560000000000003,111.63380000000002
Eric Burdon,11,0.0,0.0,0.0,3.0,1.0,0.649,0.6904545454545454,-7.898636363636363,0.02907272727272727,0.25772727272727275,0.0,0.16063636363636363,0.8762727272727274,119.07463636363636
Eternal Griefs,6,0.0,0.0,0.0,1.0,1.0,0.23181666666666667,0.7501666666666668,-11.174833333333334,0.06685,0.027267800000000005,0.7758333333333334,0.14895,0.18341666666666667,133.75266666666667
Lil' Kim,5,0.0,0.0,0.8,1.0,1.4,0.716,0.649,-8.0964,0.2646,0.178188,0.00013981,0.10167999999999999,0.6272,87.5764
Leila Bela,29,0.0,0.0,0.0,1.0,1.3103448275862069,0.3283448275862069,0.32838586206896553,-19.234517241379308,0.15214137931034483,0.7176068965517242,0.3408733172413793,0.2433103448275862,0.16503793103448278,117.13987999999999
Pretenders,7,0.0,0.0,0.0,1.0,1.0,0.3352857142857143,0.7364285714285713,-8.627571428571429,0.031114285714285712,0.019074285714285714,0.028614285714285714,0.11285714285714285,0.5037142857142857,107.00814285714286
Percy Sledge,9,0.0,0.0,0.0,1.0,1.0,0.56,0.34344444444444444,-12.744777777777777,0.02863333333333333,0.6346666666666666,0.009290877777777777,0.1833111111111111,0.404,84.21722222222222
Felix Mendelssohn,5,0.0,0.0,0.0,2.0,2.8,0.2934,0.14974,-19.6822,0.04052,0.9496,0.8342,0.1288,0.20298,111.40979999999999
Franz Liszt,10,0.0,0.0,0.0,1.0,2.0,0.2793,0.13040000000000002,-24.310399999999998,0.04085,0.9818,0.67666,0.18946000000000002,0.13919,91.7442
Franz Schubert,16,0.0,0.0,0.0,1.0,2.5625,0.293725,0.092493125,-22.3480625,0.04473125,0.9876874999999999,0.699925,0.10846875,0.16618750000000002,87.42281249999999
MC Lyte,5,0.0,0.0,0.8,1.0,1.0,0.8400000000000001,0.6712,-8.978,0.3412,0.25638,2.4e-07,0.17046,0.6980000000000001,118.5628
Louis Prima,7,0.0,0.0,0.0,1.8571428571428572,2.4285714285714284,0.5654285714285715,0.4531428571428571,-10.433857142857144,0.16467142857142858,0.4802857142857143,0.0,0.061228571428571424,0.874,152.6437142857143
Mala Rodríguez,5,0.0,0.0,0.2,1.0,1.6,0.7212,0.7078,-5.7592,0.2064,0.341584,0.00116774,0.21172,0.5843999999999999,117.2578
The Staple Singers,9,0.0,0.0,0.0,1.0,1.0,0.6362222222222222,0.5041111111111111,-10.83211111111111,0.08248888888888889,0.13166666666666668,0.00012577777777777777,0.11765555555555555,0.7558888888888888,101.6091111111111
Nikolay Nikitskiy,8,0.0,0.0,0.0,1.0,1.0,0.432625,0.31875,-10.432375,0.0511125,0.928375,0.09264386,0.3667875,0.424975,110.06
Maria Maksakova,5,0.0,0.0,0.0,1.0,1.4,0.36619999999999997,0.5096,-6.8988,0.06,0.633,5.16e-06,0.1978,0.2206,108.3344
The Pogues,5,0.0,0.0,0.0,3.0,2.0,0.38,0.346,-14.312999999999999,0.0417,0.648,0.000139,0.0511,0.358,117.91599999999998
The Ready Set,7,0.0,0.0,0.0,2.0,1.0,0.6138571428571428,0.551142857142857,-6.284,0.02914285714285714,0.15614285714285714,0.0,0.09814285714285716,0.6014285714285714,107.14457142857144
Maite Kelly,5,0.0,0.0,0.0,1.0,1.2,0.701,0.9528000000000001,-3.7722,0.06426000000000001,0.06386,0.0,0.20814000000000005,0.7454,126.3942
Mahalia,9,0.0,0.0,0.0,3.0,1.0,0.7170000000000001,0.4436666666666667,-8.078777777777779,0.0954,0.5831111111111111,3.24e-05,0.19,0.5932222222222223,104.29444444444444
Chaos Descent,14,0.0,0.0,0.0,1.0,1.0,0.4422142857142857,0.8416428571428571,-5.7868571428571425,0.07107142857142858,0.02833580714285714,0.2008039007142857,0.26184285714285715,0.17515714285714284,123.63807142857142
Connate Exasperation,5,0.0,0.0,0.0,1.0,1.0,0.4706,0.8667999999999999,-6.3072,0.1081,0.111402416,0.7756000000000001,0.16960000000000003,0.31070000000000003,111.1154
Crazibiza,10,0.0,0.0,0.0,1.0,2.0,0.7825,0.9227000000000001,-4.1624,0.07456,0.0068965,0.5823,0.12317,0.5368999999999999,124.0001
Carola,10,0.0,0.0,0.0,1.0,1.0,0.25579999999999997,0.152,-14.291599999999999,0.03777,0.9596,0.001608422,0.08834,0.16,100.5654
Devin Dawson,9,0.0,0.0,0.0,1.0,1.0,0.5982222222222222,0.5202222222222223,-7.505,0.042744444444444446,0.4091,3.966666666666667e-07,0.12091111111111112,0.5031111111111112,97.56144444444445
Dinos,5,0.0,0.0,1.0,1.0,1.0,0.873,0.5728000000000001,-9.675,0.1758,0.1634,0.0006754279999999999,0.10732,0.4756,123.9298
Deathtune,10,0.0,0.0,0.0,1.0,1.0,0.3231,0.9682999999999999,-3.2019999999999995,0.19607000000000002,4.2752e-05,0.01797124,0.24258000000000002,0.19574,141.8988
Allessa,8,0.0,0.0,0.0,1.0,1.125,0.669625,0.7931250000000001,-4.803624999999999,0.0376,0.2073875,2.5125e-06,0.10575,0.690625,134.930875
dvsn,6,0.0,0.0,0.3333333333333333,1.0,1.0,0.7538333333333332,0.5535,-5.325,0.07426666666666666,0.1585,2.3833333333333334e-05,0.06473333333333332,0.7478333333333333,149.66783333333333
Janelle Monáe,5,0.0,0.0,1.0,3.0,1.4,0.807,0.5202,-7.472199999999999,0.1242,0.09928000000000001,9.68e-05,0.3084,0.597,111.426
Sergei Rachmaninoff,5,0.0,0.0,0.0,1.0,2.0,0.296,0.10051999999999998,-21.0442,0.0419,0.9810000000000001,0.7064,0.09054,0.07072,82.99199999999999
Sergei Prokofiev,7,0.0,0.0,0.0,1.0,3.142857142857143,0.37842857142857145,0.1261857142857143,-21.963142857142856,0.045271428571428574,0.9465714285714285,0.8622857142857142,0.11512857142857144,0.2740571428571429,97.75428571428571
Сергей Захаров,9,0.0,0.0,0.0,1.0,1.4444444444444444,0.324,0.6031111111111112,-7.715777777777777,0.04991111111111111,0.5428888888888889,0.1450506,0.21488888888888888,0.39066666666666666,99.24733333333333
Andrew Bird,9,0.0,0.0,0.0,2.0,1.0,0.522888888888889,0.3217777777777778,-9.219333333333333,0.03592222222222222,0.8127777777777777,0.010117844444444446,0.13203333333333334,0.32844444444444443,113.63477777777778
Ane Brun,5,0.0,0.0,0.0,2.0,1.0,0.389,0.18560000000000001,-12.5942,0.03328,0.9056000000000001,0.00038822,0.23200000000000004,0.2685,135.2566
Antonín Dvořák,5,0.0,0.0,0.0,1.0,2.6,0.26958000000000004,0.11872,-20.836199999999998,0.043320000000000004,0.933,0.6102000000000001,0.11748,0.16553999999999996,105.65180000000001
RaeLynn,8,0.0,0.0,0.0,1.0,1.0,0.619875,0.710625,-5.17425,0.0511375,0.077875,0.0,0.105725,0.534125,140.722125
Juan Magán,10,0.0,0.0,0.0,5.0,2.6,0.7221,0.8063,-4.5261000000000005,0.07207,0.16595,0.0,0.15545,0.753,121.8472
Joy Oladokun,5,0.0,0.0,0.8,1.0,1.0,0.597,0.5058,-7.7756,0.04264,0.1274,6.287e-05,0.16307999999999997,0.5034,131.2552
Joseph Haydn,6,0.0,0.0,0.0,1.0,4.666666666666667,0.3621666666666667,0.10738333333333333,-23.859166666666667,0.04555,0.8865,0.39566749500000004,0.1421,0.31651666666666667,127.097
Jack Jones,8,0.0,0.0,0.0,1.0,1.0,0.4185,0.502625,-11.12025,0.0353,0.73025,1e-05,0.15125,0.67275,101.83875
Sabke Morde,6,0.0,0.0,0.0,1.0,1.0,0.3285,0.6823333333333333,-6.460333333333334,0.045250000000000005,0.16843,0.10737346666666665,0.31055000000000005,0.12411666666666665,121.77866666666667
Sarah Connor,28,0.0,0.0,0.0,1.0,1.0,0.6393571428571428,0.5796785714285715,-5.213607142857143,0.030139285714285712,0.5549999999999999,0.0,0.09433214285714286,0.3907142857142857,104.42103571428572
Sammy Davis Jr.,8,0.0,0.0,0.0,1.0,1.0,0.39487500000000003,0.18506250000000002,-16.165125,0.0372625,0.8601249999999999,4.28125e-06,0.2225375,0.364875,103.5485
James Taylor,5,0.0,0.0,0.0,3.0,1.6,0.47400000000000003,0.3214,-10.431999999999999,0.03296,0.515,5.6269999999999995e-05,0.1976,0.2548,122.6478
Izabella Jur'eva,7,0.0,0.0,0.0,1.0,1.0,0.4992857142857143,0.20615714285714287,-12.705,0.1271857142857143,0.9925714285714287,0.06575985714285715,0.17671428571428574,0.38699999999999996,112.77471428571428
Paulina Rubio,5,0.0,0.0,0.0,1.0,1.0,0.6932,0.7316,-5.1774000000000004,0.06554,0.12174,4.54e-06,0.14728,0.5764,110.90439999999998
PERMEATE,5,0.0,0.0,0.0,1.0,1.2,0.46720000000000006,0.49820000000000003,-14.1174,0.0641,0.39186,0.812,0.10022,0.24611999999999998,110.8144
Ian Munsick,13,0.0,0.0,0.0,1.0,1.3076923076923077,0.4613846153846154,0.6168461538461538,-6.657461538461538,0.029223076923076925,0.37671538461538456,3.415384615384615e-05,0.15215384615384617,0.3663076923076923,153.1506923076923
Kiawasch Sahebnassagh,31,0.0,0.0,0.0,1.0,1.2903225806451613,0.3841290322580645,0.1377758064516129,-21.675451612903224,0.08908387096774194,0.8234838709677419,0.436447494516129,0.2069967741935484,0.14061612903225806,109.08977419354838
Hayley Kiyoko,14,0.0,0.0,0.0,1.0,1.0,0.7314285714285714,0.6424285714285715,-6.520142857142857,0.059814285714285716,0.23757142857142857,9.685714285714286e-05,0.2326857142857143,0.5098571428571429,107.7432857142857
High Valley,7,0.0,0.0,0.0,1.0,1.0,0.5112857142857143,0.7978571428571428,-5.6538571428571425,0.03378571428571429,0.015514285714285715,3.4714285714285715e-07,0.12411428571428572,0.4617142857142857,107.99642857142855
Надежда Обухова,6,0.0,0.0,0.0,1.0,1.3333333333333333,0.357,0.08345000000000001,-18.009833333333333,0.055600000000000004,0.9851666666666666,2.6750000000000002e-06,0.09670000000000001,0.17833333333333334,88.37349999999999
Михаил Вавич,5,0.0,0.0,0.0,1.0,1.0,0.358,0.368,-9.0374,0.0696,0.9934,0.06241042,0.26480000000000004,0.3392,73.5026
Валерий Агафонов,12,0.0,0.0,0.0,1.0,1.0,0.3899166666666667,0.11630833333333333,-17.84425,0.05459166666666667,0.97375,0.14740975,0.10829166666666667,0.15820833333333334,109.37841666666667
Александр Цфасман,15,0.0,0.0,0.0,1.0,1.8666666666666667,0.46359999999999996,0.2771133333333333,-15.9354,0.057339999999999995,0.9260666666666667,0.16290020000000002,0.2986533333333333,0.5589333333333334,112.19946666666667
Arash Pandi,5,0.0,0.0,0.0,1.0,1.0,0.21280000000000002,0.617,-11.9872,0.18283999999999997,0.44399999999999995,0.8332,0.14043999999999998,0.199,113.907
War Angel,13,0.0,0.0,0.15384615384615385,1.0,1.0,0.46061538461538465,0.9133076923076923,-4.6984615384615385,0.08384615384615385,0.019733062307692308,0.08193992846153847,0.2062,0.2246076923076923,129.63515384615386
Aloe Blacc,6,0.0,0.0,0.0,1.0,1.0,0.57,0.0696,-13.124,0.0504,0.888,0.0,0.11,0.18200000000000002,139.348
Garhelenth,11,0.0,0.0,0.0,1.0,1.0,0.23114545454545457,0.852,-7.228818181818181,0.053890909090909093,0.010398633636363636,0.5065863636363637,0.2067181818181818,0.17946363636363635,124.19681818181817
Soheil Soheili,9,0.0,0.0,0.0,1.0,1.5555555555555556,0.2776666666666667,0.3713777777777778,-19.005000000000003,0.12342222222222222,0.7552222222222222,0.6632222222222222,0.11202222222222222,0.09536666666666666,95.54288888888888
